Tech Solutions;TS;12.05.2010;150;IT;Software Development
Green Energy;GE;20.08.2015;80;Energy;Renewable Energy Production
Smart Home Innovations;SHI;30.03.2018;60;IT;Smart Device Manufacturing
Digital Campaigns;DC;30.09.2020;45;Marketing;Online Advertising
Medical Innovations;MI;15.05.2021;40;Healthcare;Health Monitoring Solutions
Eco Construction;EC;11.11.2012;100;Construction;Sustainable Building
Digital Marketing Agency;DMA;05.07.2019;50;Marketing;Online Advertising
Health Tech;HT;15.01.2020;70;Healthcare;Medical Technology
Cloud Solutions;CS;12.02.2019;100;IT;Software Development
Power Inc.;SPI;22.07.2020;50;Energy;Solar Panel Installation
;;;;;
Transport Logistics;TL;22.04.2014;200;Logistics;Freight Transport
Data Analytics Corp;DAC;10.09.2016;90;IT;Data Analysis
AdTech Agency;ATA;20.01.2021;25;Marketing;Online Advertising
Retail Innovations;RI;18.02.2021;120;Retail;E-commerce Solutions
Innovative Software;IS;18.04.2018;70;IT;Software Development
BioTech Solutions;BTS;10.03.2022;60;Healthcare;Biotechnology Research
Wind Energy Corp.;WEC;05.11.2019;30;Energy;Wind Farm Development
